DPF/FAP filter,Kubikaža,Digitalna klima,Alarm,Vrsta enterijera,price_by_agreement,views,Memorija sjedišta,Klimatizacija,Bluetooth,Emisioni standard,Senzor kiše,Servisna knjiga,Svjetla,Pogon,El. podizači stakala,Masaža sjedišta,Oldtimer,display_price,ABS,Sjedećih mjesta,state,shipping,Boja,Registrovan,Servo volan,El. pomjeranje sjedišta,Tip,Touch screen (ekran),Turbo,Senzor auto. svjetla,USB port,Centralna brava,ESP,Maglenke,Park assist,Muzika/ozvučenje,Komande na volanu,Metalik,Naslon za ruku,Posjeduje gume,Start-Stop sistem,Prilagođen invalidima,Strane tablice,Šiber,Snaga motora (KW),Navigacija,Udaren,price,Parking kamera,Parking senzori,Konjskih snaga,Hlađenje sjedišta,Auto kuka,Head up display,Zaštita/Blokada,model_id,Garancija,Broj prethodnih vlasnika,Hill assist,Transmisija,brand,Car play,free_delivery,ISOFIX,Registrovan do,Broj stepeni prijenosa,Airbag,Panorama krov,Grijanje sjedišta,Tempomat,Senzor mrtvog ugla,Alu felge,Kilometraža,Rolo zavjese,Ocarinjen,model,Gorivo,Daljinsko otključavanje,Električni retrovizori,Godište,Broj vrata
False,1.9,True,False,Koža i platno,False,607,False,Dvozonska,False,Euro 4,False,True,Halogena,Prednji,True,False,False,True,True,5,used,no_shipping,Crna,False,True,False,Monovolumen,False,True,False,False,True,True,True,False,CD MP3,True,True,True,Zimske,False,False,False,False,96.0,False,False,3500.0,Nema,Nema,140.0,False,False,False,Ostalo,1367.0,0,1,False,Manuelni,Renault,False,False,True,07/2024,6+R,True,False,False,True,False,True,300000.0,True,False,Scenic,Dizel,True,True,2006,4/5
True,4.0,True,True,Ostalo,False,607,True,Jednozonska,True,Euro 5,True,False,LED,Prednji,False,True,False,True,True,5,used,no_shipping,Crna,False,True,True,Limuzina,True,True,True,True,False,True,True,True,Ostalo,True,True,True,Ostalo,True,False,True,True,310.0,True,False,125000.0,Nema,Nema,140.0,True,False,True,Ostalo,1326.0,0,1,True,Automatik,Porsche,True,False,True,07/2024,6+R,True,True,True,True,True,True,180000.0,False,False,Panamera,Dizel,True,True,2016,4/5
False,2.0,True,True,Platno,False,3600,False,Dvozonska,False,Euro 5,False,True,LED,Sva četiri,True,False,False,True,True,5,used,no_shipping,Siva,True,True,False,Terenac,False,True,False,False,True,True,False,False,CD MP3 plus pojačalo,True,True,False,Ljetne i Zimske,False,False,False,False,70.0,False,False,7900.0,Nema,Nema,140.0,False,True,False,Ostalo,1197.0,0,1,False,Automatik,Nissan,False,False,True,07/2024,6+R,True,False,False,True,False,True,320000.0,False,false,X-Trail,Plin,True,False,2003,4/5
True,2.0,True,True,Koža,False,3803,False,Četverozonska,False,Euro 6,False,False,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Plava,True,True,False,Limuzina,True,True,True,False,True,True,False,True,DVD MP3 plus LCD display,True,True,True,Ljetne i Zimske,True,False,False,False,150.0,True,False,70000.0,Zadnja,Naprijed i nazad,140.0,False,True,False,Električna blokada,78.0,0,1,False,Automatik,Audi,False,False,True,04/2024,7+R,True,False,True,True,False,True,204000.0,True,true,A6,Dizel,True,True,2019,4/5
True,2.0,True,False,Koža,False,5166,False,Jednozonska,True,Euro 5,True,True,LED,Sva četiri,True,False,False,True,True,5,used,no_shipping,Crna,True,True,True,SUV,False,False,False,True,True,True,True,True,Ostalo,True,True,True,Ostalo,True,False,False,False,120.0,True,False,52900.0,Nema,Naprijed i nazad,140.0,False,False,False,Ostalo,84.0,0,1,True,Automatik,Audi,False,False,True,01/2025,6+R,True,False,False,True,False,True,205000.0,False,False,Q5,Dizel,True,True,2017,4/5
False,2.0,True,False,Ostalo,False,1894,False,Dvozonska,False,Euro 5,True,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Crna,True,True,False,Limuzina,False,True,False,False,True,True,True,False,CD MP3,True,True,True,Zimske,False,False,False,False,103.0,False,False,8100.0,Nema,Nazad,140.0,False,False,False,Ostalo,1450.0,0,1,False,Manuelni,Škoda,False,False,False,09/2024,6+R,True,False,True,True,False,True,347000.0,False,false,Octavia,Dizel,True,True,2008,4/5
True,2.0,True,True,Ostalo,False,1940,False,Dvozonska,True,Euro 5,True,True,LED,Prednji,True,False,False,True,True,5,used,no_shipping,Bijela,True,True,False,Sportski/kupe,True,True,True,True,True,True,True,True,DVD MP3 plus LCD display,True,True,True,Ljetne i Zimske,False,False,False,False,155.0,True,False,21900.0,Zadnja,Naprijed i nazad,211.0,False,False,False,Električna blokada,1587.0,0,1,False,Manuelni,Volkswagen,True,False,True,05/2025,6+R,True,False,True,True,False,True,229427.0,False,true,Golf,Benzin,True,True,2010,4/5
False,1.6,False,False,Platno,False,2589,False,Jednozonska,False,Euro 5,False,True,Halogena,Prednji,True,False,False,True,True,5,used,no_shipping,Crna,True,True,False,Malo auto,False,True,False,False,True,True,True,False,CD MP3,True,True,True,Ljetne,False,False,False,False,77.0,False,False,10900.0,Nema,Nema,105.0,False,True,False,Električna blokada,1430.0,0,1,False,Manuelni,Seat,False,False,True,07/2024,5+R,True,False,False,False,False,True,239000.0,False,true,Altea,Dizel,True,True,2011,4/5
False,2.0,True,False,Koža,False,16088,False,Dvozonska,True,Euro 6,True,True,Xenon,Prednji,True,False,False,True,True,5,used,no_shipping,Crna,True,True,True,Terenac,True,True,True,False,True,True,True,True,CD MP3 plus pojačalo,True,True,True,Zimske,False,False,False,False,110.0,True,False,49900.0,Zadnja,Naprijed i nazad,150.0,False,False,False,Električna blokada,730.0,0,1,False,Automatik,Land Rover,False,False,True,07/2024,6+R,True,True,True,True,True,True,198000.0,False,true,Range Rover Evoque,Dizel,True,True,2016,4/5
False,1.6,True,False,Koža,False,3332,False,Dvozonska,False,Euro 5,False,True,Halogena,Prednji,True,False,False,True,True,5,used,no_shipping,Siva,True,True,False,Malo auto,False,True,False,False,True,True,True,False,CD MP3,True,True,True,Ljetne,False,False,False,False,84.0,False,False,12900.0,Nema,Nema,115.0,False,False,False,Električna blokada,1651.0,0,1,False,Manuelni,Volvo,False,False,True,07/2024,6+R,True,False,False,False,False,True,235000.0,False,true,S40,Dizel,True,True,2011,4/5
